,FREQUENC,GEO,TIME,ISCED11,AGE,SEX,UNIT,ACL00,Value
0,Not in the last 12 months,Belgium,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,66.1
1,Not in the last 12 months,Bulgaria,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,80.8
2,Not in the last 12 months,Czechia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,55.5
3,Not in the last 12 months,Denmark,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,56.4
4,Not in the last 12 months,Germany,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,64.0
5,Not in the last 12 months,Estonia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,69.9
6,Not in the last 12 months,Ireland,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,53.0
7,Not in the last 12 months,Greece,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,68.1
8,Not in the last 12 months,Spain,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,72.4
9,Not in the last 12 months,France,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,69.5
10,Not in the last 12 months,Croatia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,72.3
11,Not in the last 12 months,Italy,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,78.6
12,Not in the last 12 months,Cyprus,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,77.9
13,Not in the last 12 months,Latvia,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,62.8
14,Not in the last 12 months,Lithuania,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,73.8
15,Not in the last 12 months,Luxembourg,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,58.8
16,Not in the last 12 months,Hungary,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,74.6
17,Not in the last 12 months,Malta,2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,77.0
