,FREQUENC,GEO,TIME,ISCED11,AGE,SEX,UNIT,ACL00,Value
0,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 16 to 24 years,Total,Percentage,Sports events,52.4
1,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 16 to 29 years,Total,Percentage,Sports events,54.9
2,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,16 years or over,Total,Percentage,Sports events,69.8
3,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 25 to 34 years,Total,Percentage,Sports events,61.4
4,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 25 to 64 years,Total,Percentage,Sports events,67.9
5,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 35 to 49 years,Total,Percentage,Sports events,65.2
6,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 50 to 64 years,Total,Percentage,Sports events,74.5
7,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,From 65 to 74 years,Total,Percentage,Sports events,79.5
8,Not in the last 12 months,European Union - 27 countries (from 2020),2015,All ISCED 2011 levels ,75 years or over,Total,Percentage,Sports events,90.0
9,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 24 years,Total,Percentage,Sports events,54.8
10,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 16 to 29 years,Total,Percentage,Sports events,58.5
11,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",16 years or over,Total,Percentage,Sports events,80.4
12,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 34 years,Total,Percentage,Sports events,76.1
13,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 25 to 64 years,Total,Percentage,Sports events,80.9
14,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 35 to 49 years,Total,Percentage,Sports events,79.0
15,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 50 to 64 years,Total,Percentage,Sports events,83.7
16,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",From 65 to 74 years,Total,Percentage,Sports events,85.7
17,Not in the last 12 months,European Union - 27 countries (from 2020),2015,"Less than primary, primary and lower secondary education (levels 0-2)",75 years or over,Total,Percentage,Sports events,94.2
18,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,Percentage,Sports events,50.9
19,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,Percentage,Sports events,54.3
20,Not in the last 12 months,European Union - 27 countries (from 2020),2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16 years or over,Total,Percentage,Sports events,67.3
