,Unnamed: 0,Country,Mean_temp,Max_Temp,Min_Temp,Precipitation,Temp_difference,%_sports_events,%_football_views_TV,%_football_events,%_Football_games
0,0,Germany,18.863333333333333,24.293333333333333,13.485333333333337,71.35000000000001,10.807999999999998,58.5,68.6,64.5,66.1
1,1,Belgium,18.862666666666662,24.304666666666662,13.472,68.49799999999999,10.832666666666665,64.6,82.5,69.5,80.8
2,2,Croatia,21.68466666666667,27.698000000000004,15.722,93.60666666666668,11.976000000000004,38.5,58.7,47.5,55.5
3,3,Denmark,16.773333333333337,21.05666666666667,12.532666666666666,71.926,8.524000000000003,50.8,58.8,56.3,56.4
4,4,Slovenia,22.566000000000003,29.76066666666667,15.418,23.90333333333333,14.34266666666667,48.4,64.8,56.5,64.0
5,5,France,19.996666666666663,25.609333333333336,14.436666666666667,53.464666666666666,11.172666666666668,52.1,72.5,60.6,69.9
6,6,Ireland,14.629333333333337,18.59466666666667,10.713333333333331,89.306,7.881333333333336,57.3,56.5,54.9,53.0
7,7,Latvia,17.272000000000002,22.212666666666667,12.381333333333332,77.316,9.831333333333337,56.0,73.1,58.9,68.1
8,8,Luxembourg,18.934,24.60066666666667,13.316666666666665,60.75333333333333,11.284000000000004,58.1,74.5,65.1,72.4
9,9,Netherlands,18.206000000000003,23.366666666666664,13.095999999999998,67.53133333333332,10.270666666666664,59.9,71.6,66.5,69.5
10,10,Sweden,13.693999999999996,18.904,8.530666666666667,70.59400000000001,10.373333333333331,49.1,74.1,58.0,72.3
11,11,Bulgaria,22.286,28.55066666666666,16.069333333333333,61.48666666666666,12.481333333333328,66.7,81.1,71.7,78.6
12,12,Slovakia,18.77133333333333,25.13066666666667,12.458666666666666,96.56133333333334,12.672000000000004,37.9,66.6,45.9,62.8
13,13,Estonia,16.872666666666667,21.57733333333333,12.217333333333334,76.53466666666667,9.359999999999998,51.3,75.1,63.3,73.8
14,14,Greece,23.836,30.040666666666667,17.682666666666666,33.78133333333333,12.358,46.7,59.5,58.6,58.8
15,15,Malta,26.692,30.524,22.91,2.5046666666666666,7.614000000000004,54.6,75.0,65.9,74.6
16,16,Poland,18.962666666666667,24.54733333333333,13.426,74.14200000000001,11.12133333333333,38.2,46.4,42.4,44.0
17,17,Czech Republic,18.936666666666667,24.798666666666666,13.124,79.824,11.674666666666663,51.9,64.2,57.3,62.4
18,18,Austria,16.882,21.832000000000004,11.984666666666667,152.85466666666665,9.847333333333337,54.9,72.5,62.6,71.5
19,19,Cyprus,27.860000000000003,33.38933333333333,22.384000000000004,3.355333333333333,11.00533333333333,53.7,72.5,59.0,69.4
20,20,Spain,19.38533333333333,24.912666666666667,13.904000000000002,148.064,11.008666666666665,71.7,83.8,73.6,82.7
21,21,Finland,14.742,19.75933333333333,9.778,68.61800000000001,9.981333333333334,55.4,68.8,61.5,66.7
22,22,Hungary,21.908,28.352,15.51,74.46333333333334,12.842,42.4,61.0,47.6,59.0
23,23,Italy,21.884666666666664,26.570666666666668,17.25,56.946000000000005,9.320666666666668,41.2,51.8,38.3,45.3
24,24,Lituania,17.938666666666666,23.236666666666668,12.693999999999996,77.59333333333332,10.54266666666667,45.1,52.0,50.5,48.8
25,25,Portugal,22.44533333333333,29.234666666666666,15.707999999999998,13.174,13.526666666666667,43.7,48.6,48.3,46.0
26,26,Romania,20.986666666666668,27.31866666666667,14.705333333333334,75.408,12.613333333333337,43.7,48.6,47.0,44.6
27,27,Great Britain,15.088666666666668,19.376666666666665,10.85,94.20733333333334,8.526666666666666,38.1,49.1,42.8,46.2
28,28,Iceland,8.481333333333334,11.662666666666668,5.3500000000000005,77.95066666666666,6.312666666666666,58.9,66.1,60.3,62.6
29,29,Norway,11.728000000000002,15.986666666666666,7.52,98.86466666666666,8.466666666666665,56.7,77.9,66.0,77.3
