estadio,capacidad,año,equipo,PAIS,ciudad
Estadio Santiago Bernabéu,  85_454,1947,  Madrid   # Real Madrid,ESPAÑA,
Estadio Vicente Calderón,   55_005,1966,  Madrid   # Atlético Madrid,ESPAÑA,
Camp Nou, 96_636,1957, Barcelona  # FC Barcelona,ESPAÑA,
Estadi Olímpic Lluís Companys, 55_121,1927,  Barcelona   # Espanyol Barcelona,ESPAÑA,
Estadio Benito Villamarín,  51_309,1929,  Sevilla   # Betis Sevilla,ESPAÑA,
Estadio Olímpico de Sevilla, 57_619,1997, Sevilla,ESPAÑA,
Estadio Mestalla, 52_602,1923, Valencia # FC Valencia,ESPAÑA,
Happel-Stadion|Ernst-Happel-Stadion|Praterstadion,    53_295, 1931,,AUSTRIA,
Hanappi-Stadion|Gerhard-Hanappi-Stadion|Weststadion, 18_456, 1977,,AUSTRIA,
Horr-Stadion|Franz-Horr-Stadion|$Generali$ Arena,          13_135, 1925,,AUSTRIA,
Hohe Warte|Stadion Hohe Warte, 6_000,  Wien   # First Vienna FC,,AUSTRIA,
Wiener Sportclub-Platz, 8_700, 1904,,AUSTRIA,
Simmeringer Had, 5_000, 1920,,AUSTRIA,
$UPC$-Arena, 15_323, 1997,,AUSTRIA,
Gruabn,    10_500, 1919,,AUSTRIA,
Franz-Fekete-Stadion,  12_000, 1950,,AUSTRIA,
Stadion Hartberg,   6_000, Hartberg              # TSV Hartberg,,AUSTRIA,
Linzer Stadion|Stadion auf der Gugl, 20_104, 1952,,AUSTRIA,
$Keine Sorgen$ Arena, 7_334, 2003,,AUSTRIA,
Waldstadion, 7_152, Pasching,,AUSTRIA,
Vorwärts-Stadion, 10_000, SteyrWiener Neustädter,,AUSTRIA,
Stadion|Stadion Wiener Neustadt, 7_036,  1955,,AUSTRIA,
Bundesstadion Südstadt,    12_000, 1967,,AUSTRIA,
$NV$-Arena|Niederösterreich-Arena, 8_000, 2012,,AUSTRIA,
Voithplatz, 8_000, St. Pölten   # SKN St. Pölten Amateure,,AUSTRIA,
Sportplatz Horn, 3_000, Horn   # SV Horn,,AUSTRIA,
Sepp-Doll-Stadion|Kremserstadion, 10_000, 1923,,AUSTRIA,
Pappelstadion, 15_700, 1952,,AUSTRIA,
Heidebodenstadion, 5_000, Parndorf     # SC-ESV Parndorf,,AUSTRIA,
Wörtherseestadion|$Hypo$-Arena,      32_000, 2008,,AUSTRIA,
Lavanttal-Arena,  7_700, 2003,,AUSTRIA,
Goldeckstadion, 6_500,  Spittal (an der Drau),,AUSTRIA,
Wals-Siezenheim-Stadion|$Red Bull$ Arena, 31_020, 2003,,AUSTRIA,
Untersberg-Arena, 2_955, 1989,,AUSTRIA,
Tivoli|Tivoli-Neu Stadion, 17_400, 2000,,AUSTRIA,
Kufstein Arena|Grenzlandstadion, 5_000, 1925,,AUSTRIA,
Alpenstadion, 5_500, Wattens,,AUSTRIA,
