estadio,capacidad,año,equipo,PAIS,ciudad
Estadio Santiago Bernabéu,85454,1947,  Madrid   # Real Madrid,ESPAÑA,
Estadio Vicente Calderón,55005,1966,  Madrid   # Atlético Madrid,ESPAÑA,
Camp Nou,96636,1957, Barcelona  # FC Barcelona,ESPAÑA,
Estadi Olímpic Lluís Companys,55121,1927,  Barcelona   # Espanyol Barcelona,ESPAÑA,
Estadio Benito Villamarín,51309,1929,  Sevilla   # Betis Sevilla,ESPAÑA,
Estadio Olímpico de Sevilla,57619,1997, Sevilla,ESPAÑA,
Estadio Mestalla,52602,1923, Valencia # FC Valencia,ESPAÑA,
Happel-Stadion|Ernst-Happel-Stadion|Praterstadion,53295, 1931,,AUSTRIA,
Hanappi-Stadion|Gerhard-Hanappi-Stadion|Weststadion,18456, 1977,,AUSTRIA,
Horr-Stadion|Franz-Horr-Stadion|$Generali$ Arena,13135, 1925,,AUSTRIA,
Hohe Warte|Stadion Hohe Warte,6000,  Wien   # First Vienna FC,,AUSTRIA,
Wiener Sportclub-Platz,8700, 1904,,AUSTRIA,
Simmeringer Had,5000, 1920,,AUSTRIA,
$UPC$-Arena,15323, 1997,,AUSTRIA,
Gruabn,10500, 1919,,AUSTRIA,
Franz-Fekete-Stadion,12000, 1950,,AUSTRIA,
Stadion Hartberg,6000, Hartberg              # TSV Hartberg,,AUSTRIA,
Linzer Stadion|Stadion auf der Gugl,20104, 1952,,AUSTRIA,
$Keine Sorgen$ Arena,7334, 2003,,AUSTRIA,
Waldstadion,7152, Pasching,,AUSTRIA,
Vorwärts-Stadion,10000, SteyrWiener Neustädter,,AUSTRIA,
Stadion|Stadion Wiener Neustadt,7036,  1955,,AUSTRIA,
Bundesstadion Südstadt,12000, 1967,,AUSTRIA,
$NV$-Arena|Niederösterreich-Arena,8000, 2012,,AUSTRIA,
Voithplatz,8000, St. Pölten   # SKN St. Pölten Amateure,,AUSTRIA,
Sportplatz Horn,3000, Horn   # SV Horn,,AUSTRIA,
Sepp-Doll-Stadion|Kremserstadion,10000, 1923,,AUSTRIA,
Pappelstadion,15700, 1952,,AUSTRIA,
Heidebodenstadion,5000, Parndorf     # SC-ESV Parndorf,,AUSTRIA,
Wörtherseestadion|$Hypo$-Arena,32000, 2008,,AUSTRIA,
Lavanttal-Arena,7700, 2003,,AUSTRIA,
Goldeckstadion,6500,  Spittal (an der Drau),,AUSTRIA,
Wals-Siezenheim-Stadion|$Red Bull$ Arena,31020, 2003,,AUSTRIA,
Untersberg-Arena,2955, 1989,,AUSTRIA,
Tivoli|Tivoli-Neu Stadion,17400, 2000,,AUSTRIA,
Kufstein Arena|Grenzlandstadion,5000, 1925,,AUSTRIA,
Alpenstadion,5500, Wattens,,AUSTRIA,
Schnabelholz|$Cashpoint$ Arena,8500, 1990,,AUSTRIA,
Reichshofstadion,8800, 1953,,AUSTRIA,
