_country,_unit,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,CODE
Austria,"Euro, Millions",8276.335,9287.84,9571.282,10275.18,10499.146,11145.02,11289.781,11911.85,12441.232,AUT
Belgium,"Euro, Millions",8171.0,8809.188,9156.953,9551.244,10118.2,10852.674,11867.981,13158.259,15109.898,BEL
Denmark,"Danish Krone, Millions",7069.842000000001,7344.311,7451.691,7505.29,8087.3,8474.83,8356.53,8688.42,8702.85,DNK
Estonia,"Euro, Millions",384.447,380.695,326.045,286.736,302.82,270.34,304.32,365.64,452.97,EST
Finland,"Euro, Millions",7163.692,6831.888,6684.1,6512.1,6070.9,5926.1,6173.2,6437.7,6715.1,FIN
France,"Euro, Millions",45111.514,46519.04,47362.05,48926.86,49839.13,49650.923,50513.598,51913.8,53427.81,FRA
Germany,"Euro, Millions",75569.072,79110.378,79729.508,84246.766,88781.819,92173.556,99553.616,104669.045,110025.41,DEU
Greece,"Euro, Millions",1391.156,1337.6,1465.67,1488.74,1703.82,1754.18,2038.43,13773.295741301747,2337.66,GRC
Hungary,"Forint, Millions",336537.3,363683.4,420100.3,441092.1,468389.7,427191.8,517258.0,654163.1,702199.3,HUN
Ireland,"Euro, Millions",2665.9,2733.892,2813.14,2967.2,3108.7,3175.1,3675.3,3812.435,4370.61,IRL
Italy,"Euro, Millions",19810.6,20502.5,20983.1,21781.28,22157.0,23171.612,23793.65,25232.243,26259.661,ITA
Latvia,"Euro, Millions",141.434,145.374,139.5,162.8,152.2,110.4,137.9,186.2,195.2,LVA
Lithuania,"Euro, Millions",282.698,298.367,332.426,376.827,389.67,327.612,378.906,426.306,485.998,LTU
Luxembourg,"Euro, Millions",631.4,561.403,605.731,630.3,678.0,712.1,720.7,704.5,737.8,LUX
Netherlands,"Euro, Millions",12235.3,12512.616,14240.0,14595.0,14808.0,15235.0,16081.0,16554.0,17760.0,NLD
Poland,"Zloty, Millions",11686.7,14352.9,14423.8,16168.2,18060.7,17943.0,20578.5,25647.792,30284.822,POL
Portugal,"Euro, Millions",2566.45,2320.133,2258.471,2232.249,2234.37,2388.467,2585.1,2769.072,2991.864,PRT
Slovenia,"Euro, Millions",894.213,928.306,935.006,890.232,853.067,811.953,802.291,892.724,990.698,SVN
Spain,"Euro, Millions",15082.660168761558,13106.569927962995,13011.798,12820.756,13172.0,13260.0,14063.444,14946.0,15572.0,ESP
Sweden,"Swedish Krona, Millions",16147.393639641225,16246.594591501012,11964.960000000001,12074.956827414713,13166.016,11979.353286429603,14931.072,16067.435450512829,16421.760000000002,SWE
United Kingdom,"Pound Sterling, Millions",32308.046,31867.079999999998,34072.617999999995,36107.528,37318.68,39092.92799999999,41074.147999999994,43744.842,45453.67079999999,GBR
