year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2016,3.59,6.49,8.33,13.34,19.18,22.16,24.06,23.83,22.87,12.09,7.18,5.3,DE,Alemania
2017,1.32,6.46,12.4,12.82,19.96,23.65,23.44,23.83,17.64,15.29,7.75,4.63,DE,Alemania
2018,6.0,1.22,6.72,18.0,22.12,23.33,26.68,26.14,21.64,16.25,8.56,5.88,DE,Alemania
2019,2.69,8.32,11.34,15.77,16.32,24.91,24.91,25.23,19.81,15.25,8.1,6.7,DE,Alemania
2020,6.71,8.82,10.22,17.0,18.25,22.32,23.74,26.17,21.07,13.86,10.03,5.26,DE,Alemania
2016,7.19,7.98,9.46,13.36,19.3,21.08,23.88,24.32,23.18,14.12,9.11,7.34,BE,Belgica
2017,3.88,8.73,13.58,14.07,20.57,24.19,23.74,23.26,18.56,17.04,9.82,7.05,BE,Belgica
2018,8.19,3.76,8.68,17.81,22.1,23.22,27.58,25.46,21.45,17.43,10.09,8.2,BE,Belgica
2019,5.37,10.14,12.5,16.32,17.03,24.48,25.28,25.12,20.33,15.82,9.25,8.7,BE,Belgica
2020,8.38,10.55,11.55,18.15,19.75,22.63,23.69,26.64,21.79,14.99,11.87,7.84,BE,Belgica
2016,5.02,10.21,11.9,18.05,20.57,25.29,28.36,26.77,24.47,15.46,10.71,5.55,HR,Croacia
2017,1.0,8.85,14.96,16.22,22.14,27.46,28.92,29.8,21.12,17.7,10.48,6.05,HR,Croacia
2018,7.67,5.11,9.74,20.33,23.89,25.81,28.13,29.64,24.63,19.45,12.56,5.82,HR,Croacia
2019,3.67,9.59,14.55,17.51,17.71,27.75,28.5,29.07,23.73,19.19,13.25,7.94,HR,Croacia
2020,5.94,10.9,12.47,17.8,20.22,24.01,27.44,28.52,24.44,17.14,11.45,7.41,HR,Croacia
2016,1.87,4.74,6.48,10.34,17.44,20.12,20.81,20.47,20.11,11.08,6.56,6.69,DK,Dinamarca
2017,2.96,3.97,8.24,10.14,16.51,19.37,19.61,20.18,16.51,13.6,8.06,5.53,DK,Dinamarca
