pais,geoID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Germany,DE,1.36,2.95,5.53,9.975999999999999,13.654,17.962,19.130000000000003,19.497999999999998,15.425999999999998,10.622,5.478,3.158
Belgium,BE,3.8519999999999994,4.766,6.898000000000001,10.496,14.170000000000002,17.869999999999997,19.330000000000002,19.387999999999998,15.768,11.754,6.894,5.086
Croatia,HR,1.096,4.859999999999999,7.75,12.558,15.534,20.43,22.072,22.552,17.756,12.602,7.8340000000000005,3.3579999999999997
Denmark,DK,1.922,2.382,3.806,7.692,12.05,16.086000000000002,16.854000000000003,17.38,14.392,10.136,5.802,4.218
Spain,ES,6.664,8.01,9.728,12.092,16.094,20.176,23.806,23.716,20.288,15.222,9.942,7.418000000000001
France,FR,4.843999999999999,5.9799999999999995,8.01,11.172,14.412,18.4,20.884,20.706,17.324,12.784,7.944,5.676
Ireland,IE,5.744,5.526,6.382,8.476,11.364,13.794,15.190000000000001,14.904,12.815999999999999,9.966,6.812,6.246
Latvia,LV,-3.2660000000000005,-1.484,1.104,6.617999999999999,12.572,16.79,17.476,17.55,13.574000000000002,7.614,2.916,0.009999999999999953
Luxembourg,LU,2.276,3.7920000000000003,6.254,10.296000000000001,14.018,17.978,19.562,19.262,15.5,10.916,5.604,3.5260000000000007
Netherlands,NL,4.026,4.638,6.712000000000001,9.928,13.836000000000002,17.202,18.564,18.852,15.308000000000002,11.51,6.994,5.694
Sweden,SE,-7.473999999999999,-6.052,-3.2339999999999995,2.118,7.674000000000001,13.002,14.77,13.309999999999999,9.574,3.53,-1.794,-4.2700000000000005
Bulgaria,BG,-0.466,3.6700000000000004,7.260000000000001,11.58,15.992,20.804000000000002,22.722,23.332,18.906,13.106,7.362,2.4419999999999997
Slovakia,SK,-3.004,1.158,4.351999999999999,9.73,13.148,18.008000000000003,18.73,19.576,14.722,9.64,4.064,-0.19
Estonia,EE,-3.748,-2.334,-0.046,5.464,11.703999999999999,16.148,17.382,17.088,13.018,6.914,2.588,0.005999999999999983
Greece,GR,4.66,7.622,10.088,13.5,17.472,21.978,24.588,24.942,21.05,15.919999999999998,11.24,6.470000000000001
Malta,MT,13.041999999999998,13.63,14.863999999999999,17.740000000000002,20.304,24.762,27.468,27.845999999999997,25.458000000000002,22.022,18.2,14.712
Poland,PL,-1.074,1.638,4.61,9.42,13.930000000000001,18.268,18.952,19.668,15.014,10.053999999999998,4.848000000000001,2.0100000000000002
Czech Republic,CZ,-1.212,1.584,4.558,9.706,13.285999999999998,17.98,19.134,19.696,15.046000000000001,9.902,4.328,1.152
Austria,AT,-2.25,0.4959999999999999,3.136,7.872,10.922,15.790000000000001,17.268,17.588,13.11,8.440000000000001,3.16,-0.40199999999999997
Cyprus,CY,10.918000000000001,13.046000000000001,15.030000000000001,18.124000000000002,22.136,25.838,28.844,28.898000000000003,26.968,23.144,17.472,13.412
Slovenia,SI,-0.388,2.96,5.586,10.376000000000001,13.322,18.27,19.826,20.06,15.384,10.565999999999999,5.554,1.3980000000000001
Finland,FI,-9.298,-7.242,-3.9519999999999995,1.702,8.512,13.66,16.292,14.274000000000001,9.698,2.978,-1.706,-4.752
Hungary,HU,-0.8780000000000001,3.78,7.376,12.86,16.168,21.096,21.928,22.7,17.724,12.15,6.634,1.968
Italy,IT,4.782,6.651999999999999,8.464,12.065999999999999,15.236,20.084,22.654,22.916,18.881999999999998,14.254,9.878,6.1240000000000006
Lituania,LT,-3.054,-0.93,2.084,7.714,13.384,17.622,17.916,18.278,14.116,8.325999999999999,3.3920000000000003,0.35
Portugal,PT,9.524,10.616,11.908,14.063999999999998,17.496000000000002,20.494,23.256,23.586000000000002,21.242,17.384,12.484,10.094
Romania,RO,-2.448,1.934,5.904,11.262,15.134,20.112000000000002,20.984,21.864,17.206,11.280000000000001,5.628,0.9380000000000001
Great Britain,GB,4.343999999999999,4.311999999999999,5.68,8.014,11.302,14.144,15.644,15.478,13.044,9.82,6.228,5.122
Iceland,IS,-1.704,-1.302,-1.152,1.476,4.12,7.537999999999999,9.443999999999999,8.462,5.7620000000000005,3.058,-0.6719999999999999,-1.174
Norway,NO,-6.864,-6.136,-3.9240000000000004,0.8240000000000001,5.936,10.702,12.940000000000001,11.542,8.362,2.446,-1.8800000000000001,-3.594
