Month,Germany,Belgium,Croatia,Denmark,Spain,France,Ireland,Latvia,Luxembourg,Netherlands,Sweden,Bulgaria,Slovakia,Estonia,Greece,Malta,Poland,Czech Republic,Austria,Cyprus,Slovenia,Finland,Hungary,Italy,Lituania,Portugal,Romania,Great Britain,Iceland,Norway
Jan,1.36,3.8519999999999994,1.096,1.922,6.664,4.843999999999999,5.744,-3.2660000000000005,2.276,4.026,-7.473999999999999,-0.466,-3.004,-3.748,4.66,13.041999999999998,-1.074,-1.212,-2.25,10.918000000000001,-0.388,-9.298,-0.8780000000000001,4.782,-3.054,9.524,-2.448,4.343999999999999,-1.704,-6.864
Feb,2.95,4.766,4.859999999999999,2.382,8.01,5.9799999999999995,5.526,-1.484,3.7920000000000003,4.638,-6.052,3.6700000000000004,1.158,-2.334,7.622,13.63,1.638,1.584,0.4959999999999999,13.046000000000001,2.96,-7.242,3.78,6.651999999999999,-0.93,10.616,1.934,4.311999999999999,-1.302,-6.136
Mar,5.53,6.898000000000001,7.75,3.806,9.728,8.01,6.382,1.104,6.254,6.712000000000001,-3.2339999999999995,7.260000000000001,4.351999999999999,-0.046,10.088,14.863999999999999,4.61,4.558,3.136,15.030000000000001,5.586,-3.9519999999999995,7.376,8.464,2.084,11.908,5.904,5.68,-1.152,-3.9240000000000004
Apr,9.975999999999999,10.496,12.558,7.692,12.092,11.172,8.476,6.617999999999999,10.296000000000001,9.928,2.118,11.58,9.73,5.464,13.5,17.740000000000002,9.42,9.706,7.872,18.124000000000002,10.376000000000001,1.702,12.86,12.065999999999999,7.714,14.063999999999998,11.262,8.014,1.476,0.8240000000000001
May,13.654,14.170000000000002,15.534,12.05,16.094,14.412,11.364,12.572,14.018,13.836000000000002,7.674000000000001,15.992,13.148,11.703999999999999,17.472,20.304,13.930000000000001,13.285999999999998,10.922,22.136,13.322,8.512,16.168,15.236,13.384,17.496000000000002,15.134,11.302,4.12,5.936
Jun,17.962,17.869999999999997,20.43,16.086000000000002,20.176,18.4,13.794,16.79,17.978,17.202,13.002,20.804000000000002,18.008000000000003,16.148,21.978,24.762,18.268,17.98,15.790000000000001,25.838,18.27,13.66,21.096,20.084,17.622,20.494,20.112000000000002,14.144,7.537999999999999,10.702
Jul,19.130000000000003,19.330000000000002,22.072,16.854000000000003,23.806,20.884,15.190000000000001,17.476,19.562,18.564,14.77,22.722,18.73,17.382,24.588,27.468,18.952,19.134,17.268,28.844,19.826,16.292,21.928,22.654,17.916,23.256,20.984,15.644,9.443999999999999,12.940000000000001
Aug,19.497999999999998,19.387999999999998,22.552,17.38,23.716,20.706,14.904,17.55,19.262,18.852,13.309999999999999,23.332,19.576,17.088,24.942,27.845999999999997,19.668,19.696,17.588,28.898000000000003,20.06,14.274000000000001,22.7,22.916,18.278,23.586000000000002,21.864,15.478,8.462,11.542
Sep,15.425999999999998,15.768,17.756,14.392,20.288,17.324,12.815999999999999,13.574000000000002,15.5,15.308000000000002,9.574,18.906,14.722,13.018,21.05,25.458000000000002,15.014,15.046000000000001,13.11,26.968,15.384,9.698,17.724,18.881999999999998,14.116,21.242,17.206,13.044,5.7620000000000005,8.362
Oct,10.622,11.754,12.602,10.136,15.222,12.784,9.966,7.614,10.916,11.51,3.53,13.106,9.64,6.914,15.919999999999998,22.022,10.053999999999998,9.902,8.440000000000001,23.144,10.565999999999999,2.978,12.15,14.254,8.325999999999999,17.384,11.280000000000001,9.82,3.058,2.446
Nov,5.478,6.894,7.8340000000000005,5.802,9.942,7.944,6.812,2.916,5.604,6.994,-1.794,7.362,4.064,2.588,11.24,18.2,4.848000000000001,4.328,3.16,17.472,5.554,-1.706,6.634,9.878,3.3920000000000003,12.484,5.628,6.228,-0.6719999999999999,-1.8800000000000001
Dec,3.158,5.086,3.3579999999999997,4.218,7.418000000000001,5.676,6.246,0.009999999999999953,3.5260000000000007,5.694,-4.2700000000000005,2.4419999999999997,-0.19,0.005999999999999983,6.470000000000001,14.712,2.0100000000000002,1.152,-0.40199999999999997,13.412,1.3980000000000001,-4.752,1.968,6.1240000000000006,0.35,10.094,0.9380000000000001,5.122,-1.174,-3.594
