year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2016,-1.69,0.34,0.69,3.75,8.8,12.5,14.01,12.85,12.13,5.38,1.25,-0.05,DE,Alemania
2017,-4.69,-0.23,3.12,3.19,8.98,12.84,13.46,13.3,9.03,7.66,2.74,0.33,DE,Alemania
2018,0.98,-4.53,-1.13,6.67,10.36,12.76,14.79,14.68,10.15,6.41,2.83,1.5,DE,Alemania
2019,-1.95,0.86,2.67,4.36,6.27,13.17,13.84,14.19,9.83,7.24,2.92,1.13,DE,Alemania
2020,0.7,1.86,1.13,5.12,6.53,12.24,12.63,15.02,10.32,7.02,3.67,1.09,DE,Alemania
2016,1.7,1.53,1.46,3.86,9.05,12.11,13.76,13.03,12.48,6.13,2.75,1.1,BE,Belgica
2017,-2.13,1.89,4.59,3.51,9.66,13.21,13.88,13.12,9.51,8.84,3.8,1.93,BE,Belgica
2018,3.11,-2.51,0.81,7.15,10.39,12.64,15.21,13.97,9.84,7.59,3.9,3.27,BE,Belgica
2019,0.37,2.59,3.92,5.11,6.61,13.09,14.03,13.72,10.04,8.08,3.55,2.75,BE,Belgica
2020,2.67,3.23,2.69,5.88,7.48,12.29,12.54,15.48,10.75,7.77,5.02,2.93,BE,Belgica
2016,-1.81,2.45,2.66,7.23,9.71,14.49,16.34,14.74,12.46,5.85,3.12,-1.08,HR,Croacia
2017,-6.52,0.69,4.69,5.8,10.69,15.65,16.09,16.75,10.13,7.05,3.08,-0.26,HR,Croacia
2018,0.7,-2.01,0.49,9.09,12.97,14.83,15.88,16.97,12.34,8.64,4.54,-0.43,HR,Croacia
2019,-2.76,0.71,3.83,6.85,8.22,15.57,16.05,16.9,11.87,8.46,6.0,1.34,HR,Croacia
2020,-1.9,2.27,2.4,6.97,9.45,13.72,15.26,16.59,12.6,7.32,3.39,1.37,HR,Croacia
2016,-2.33,0.06,1.05,3.0,8.63,11.76,13.06,12.2,12.42,6.54,1.68,2.17,DK,Dinamarca
2017,-1.39,-0.26,2.01,2.47,7.88,10.82,12.05,12.29,10.37,8.45,3.28,1.53,DK,Dinamarca
2018,0.59,-3.61,-2.47,4.77,9.46,11.87,14.71,13.47,10.48,7.27,3.75,2.39,DK,Dinamarca
2019,-0.85,1.77,2.65,3.93,5.75,11.66,12.98,13.61,10.16,7.08,3.76,2.57,DK,Dinamarca
2020,2.99,2.42,1.57,3.55,5.51,12.05,11.29,14.17,10.27,8.13,5.26,2.53,DK,Dinamarca
2016,3.94,3.15,3.15,5.87,9.09,13.26,16.37,16.37,13.71,9.93,5.24,3.32,ES,España
2017,0.39,3.81,4.3,7.21,10.42,14.46,16.15,16.13,12.68,10.66,4.45,1.63,ES,España
2018,2.76,0.59,3.98,6.57,8.88,13.43,16.21,17.21,14.55,8.96,5.65,3.09,ES,España
2019,0.78,2.45,4.05,5.5,9.3,12.91,16.58,16.12,13.76,9.78,5.53,4.11,ES,España
2020,2.06,3.94,4.57,7.42,11.4,12.45,17.24,16.38,13.35,8.43,5.9,2.9,ES,España
2016,2.75,2.56,2.55,4.99,8.78,12.57,14.46,14.34,13.16,7.22,4.38,1.28,FR,Francia
2017,-1.29,3.2,5.26,5.02,9.94,14.11,14.75,14.58,10.13,9.06,3.52,1.47,FR,Francia
2018,4.35,-1.06,2.59,7.55,9.97,13.77,16.05,15.51,12.07,8.72,5.26,3.77,FR,Francia
2019,0.53,2.76,4.17,5.44,7.61,13.4,15.72,14.85,12.02,10.04,4.54,3.77,FR,Francia
2020,2.82,4.17,3.66,7.28,9.91,12.23,14.62,15.59,12.27,7.97,5.37,2.94,FR,Francia
2016,3.17,1.8,2.72,2.91,6.96,10.42,11.33,11.35,10.26,7.03,2.66,4.49,IE,Irlanda
2017,3.33,3.42,4.35,4.61,7.4,10.12,10.84,10.63,8.77,8.17,4.03,3.1,IE,Irlanda
2018,2.64,0.74,1.25,4.75,6.86,9.84,11.52,10.99,8.2,6.22,4.85,5.21,IE,Irlanda
2019,3.26,4.12,3.77,4.85,6.0,8.83,11.89,11.39,9.24,6.17,3.29,3.51,IE,Irlanda
2020,3.73,2.73,2.56,4.61,6.53,9.45,10.61,11.49,8.97,6.61,5.36,2.79,IE,Irlanda
2016,-10.06,-1.62,-1.94,2.33,8.08,11.18,13.73,12.62,9.28,2.97,-1.29,-2.46,LV,Letonia
2017,-6.08,-5.15,-0.63,0.62,5.6,9.91,11.73,12.41,9.57,4.39,1.33,-1.34,LV,Letonia
2018,-4.45,-9.11,-6.1,3.05,9.74,10.69,15.16,13.88,10.07,4.11,0.74,-3.11,LV,Letonia
2019,-7.16,-2.18,-1.44,2.37,6.85,12.59,11.87,12.39,8.12,5.02,1.81,-0.15,LV,Letonia
2020,0.26,-1.12,-1.16,0.93,4.63,12.81,12.01,12.74,9.99,7.38,2.96,-1.45,LV,Letonia
2016,0.39,0.75,0.74,3.55,8.61,11.83,13.56,12.76,12.02,5.45,1.76,-0.63,LU,Luxemburgo
2017,-4.02,0.89,3.81,3.42,9.31,13.33,13.56,12.85,8.89,7.59,2.69,0.64,LU,Luxemburgo
2018,2.06,-3.42,0.01,6.69,10.31,12.66,15.1,13.93,9.5,6.72,2.87,1.84,LU,Luxemburgo
2019,-1.02,1.55,3.11,4.61,6.41,13.07,13.93,13.56,9.69,7.26,2.56,1.27,LU,Luxemburgo
2020,0.89,2.12,1.88,6.01,7.41,11.93,12.59,15.09,10.67,6.82,3.6,1.61,LU,Luxemburgo
2016,1.67,1.58,1.66,3.67,9.07,11.76,13.63,12.75,12.4,6.29,2.7,2.47,NL,Holanda
2017,-1.4,1.95,4.52,3.39,9.45,12.54,13.51,12.76,9.61,9.3,4.29,2.89,NL,Holanda
2018,3.02,-2.48,0.76,6.7,10.09,12.17,14.83,13.54,9.6,7.56,3.97,4.2,NL,Holanda
2019,0.79,2.82,4.23,4.82,6.41,12.46,13.77,13.49,9.97,7.92,3.76,3.6,NL,Holanda
2020,3.28,3.65,2.73,5.12,7.07,12.04,12.08,15.11,10.21,7.88,5.57,3.72,NL,Holanda
2016,-15.0,-8.86,-5.87,-2.19,3.26,7.13,9.87,7.9,6.47,0.31,-6.26,-7.72,SE,Suecia
2017,-10.1,-10.01,-6.88,-4.04,1.31,6.73,8.63,7.88,5.95,1.1,-5.69,-9.18,SE,Suecia
2018,-11.27,-13.65,-11.82,-2.66,4.34,6.76,11.76,8.93,5.35,0.07,-3.17,-8.04,SE,Suecia
2019,-12.55,-9.46,-7.58,-1.62,1.45,7.65,9.22,9.07,4.51,-0.95,-6.24,-6.91,SE,Suecia
