,Country,Min_Temp
0,Germany,13.485333333333335
1,Belgium,13.472
2,Croatia,15.722000000000001
3,Denmark,12.532666666666666
4,Spain,15.418
5,France,14.436666666666667
6,Ireland,10.713333333333333
7,Latvia,12.381333333333332
8,Luxembourg,13.316666666666665
9,Netherlands,13.095999999999998
10,Sweden,8.530666666666667
11,Bulgaria,16.069333333333333
12,Slovakia,12.458666666666666
13,Estonia,12.217333333333334
14,Greece,17.682666666666666
15,Malta,22.909999999999997
16,Poland,13.426
17,Czech Republic,13.124
18,Austria,11.984666666666667
19,Cyprus,22.384000000000004
20,Slovenia,13.904000000000002
21,Finland,9.778
22,Hungary,15.51
23,Italy,17.25
24,Lituania,12.693999999999997
25,Portugal,15.707999999999998
26,Romania,14.705333333333334
27,Great Britain,10.85
28,Iceland,5.3500000000000005
29,Norway,7.5200000000000005
