index,TIME,Portugal,Malta,Croatia,France,Italy,Mean
1,2000,169.2,158.00943474507116,146.03185552119461,163.6,155.1,140.80287814521694
2,2001,123.3062231583352,158.66990092689676,135.46309564406332,159.8,158.3,140.80287814521694
3,2002,154.0,124.26147057547539,136.16992619182184,156.8,156.6,140.80287814521694
4,2003,149.9,158.51581144247683,135.85916944457375,155.0,152.9,140.80287814521694
5,2004,147.1,148.8,145.8103779622567,153.1,150.0,140.80287814521694
6,2005,144.9,150.5,136.06468457686742,152.3,149.5,140.80287814521694
7,2006,145.0,145.9,135.52707085897518,149.9,149.2,140.80287814521694
8,2007,144.2,147.8,146.11536725677732,149.4,146.5,140.80287814521694
9,2008,138.2,146.9,135.3402133779718,140.1,144.7,140.80287814521694
10,2009,133.8,135.7,146.45368799966565,133.5,136.3,140.80287814521694
11,2010,127.2,131.2,145.74562819329685,130.5,132.7,140.80287814521694
12,2011,122.8,124.7,145.55063402087524,127.7,129.6,140.80287814521694
13,2012,117.6,121.5,135.25164880747684,124.4,126.2,140.80287814521694
14,2013,112.2,118.7,127.1,117.4,121.1,140.80287814521694
15,2014,108.8,115.3,115.8,114.2,118.1,140.80287814521694
16,2015,105.7,113.3,112.8,111.0,115.2,140.80287814521694
17,2016,104.7,111.8,111.5,109.8,113.3,140.80287814521694
18,2017,104.7,111.0,113.1,110.4,113.3,140.80287814521694
19,2018,106.1,107.7,115.3,112.2,115.9,140.80287814521694
20,2019,109.4,109.1,119.4,113.8,119.4,140.80287814521694
21,2020,97.5,101.4,112.2,98.5,108.6,140.80287814521694
