TIME,Bulgaria,Estonia,Malta,Czechia,Poland,Mean
2000,1.308,2.194,3.656,2.793,2.757,6.233358754609319
2001,1.299,2.207,3.283,2.805,2.773,6.233358754609319
2002,1.408,2.516,3.451,2.811,2.862,6.233358754609319
2003,1.443,2.526,3.09,2.788,2.886,6.233358754609319
2004,1.579,2.478,2.947,2.85,3.02,6.233358754609319
2005,1.598,2.68,3.674,3.068,3.087,6.233358754609319
2006,1.657,2.919,3.554,3.203,3.111,6.233358754609319
2007,1.8,2.685,3.493,3.389,3.345,6.233358754609319
2008,1.934,2.885,3.459,3.545,3.445,6.233358754609319
2009,2.121,3.091,3.186,3.598,3.694,6.233358754609319
2010,2.125,2.401,2.854,3.473,3.557,6.233358754609319
2011,2.028,2.656,3.015,3.684,3.726,6.233358754609319
2012,2.133,2.874,3.291,3.687,3.925,6.233358754609319
2013,2.281,2.631,3.635,3.668,3.941,6.233358754609319
2014,2.202,2.891,3.826,3.879,4.232,6.233358754609319
2015,2.179,3.383,3.866,4.084,4.361,6.233358754609319
2016,2.294,2.848,3.712,4.227,4.288,6.233358754609319
2017,2.277,3.041,3.443,4.261,4.294,6.233358754609319
2018,2.33,3.278,3.537,4.38,4.329,6.233358754609319
2019,2.445,4.127,3.615,4.586,4.7,6.233358754609319
2020,2.468,4.17,3.556,4.613,4.717,6.233358754609319
