TIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,4.73,4.829,4.953,4.767,4.894,5.042,5.173,5.366,5.221,5.55,5.318,5.825,6.159,5.966,6.434,6.51,6.213,6.237,6.343,6.45,6.765
Bulgaria,1.308,1.299,1.408,1.443,1.579,1.598,1.657,1.8,1.934,2.121,2.125,2.028,2.133,2.281,2.202,2.179,2.294,2.277,2.33,2.445,2.468
Czechia,2.793,2.805,2.811,2.788,2.85,3.068,3.203,3.389,3.545,3.598,3.473,3.684,3.687,3.668,3.879,4.084,4.227,4.261,4.38,4.586,4.613
Denmark,10.832,10.728,11.036,10.493,11.145,11.684,11.239,11.552,11.841,12.06,11.547,12.547,13.178,13.194,14.02,14.383,14.53,14.958,15.18,15.91,17.073
Estonia,2.194,2.207,2.516,2.526,2.478,2.68,2.919,2.685,2.885,3.091,2.401,2.656,2.874,2.631,2.891,3.383,2.848,3.041,3.278,4.127,4.17
Ireland,8.713,8.704,9.08,9.755,10.186,10.54,10.99,11.185,10.815,10.758,11.01,12.098,11.949,12.619,13.633,16.175,15.687,17.503,18.741,19.594,22.61
Greece,5.978,6.076,6.293,6.484,6.701,6.715,7.021,7.23,7.18,7.199,7.217,6.648,6.34,6.965,7.087,7.07,7.173,6.936,7.189,7.305,7.849
Spain,6.692,6.749,6.744,6.717,6.63,6.711,6.98,7.101,7.397,7.706,7.743,7.704,7.511,7.953,8.183,8.216,8.398,8.288,8.47,8.856,8.957
France,6.806,6.731,6.793,6.685,6.759,6.845,7.112,7.348,7.336,7.412,7.332,7.635,7.66,7.672,8.061,8.023,8.257,8.441,8.633,8.903,9.239
Croatia,4.199,4.164,4.279,4.222,4.394,4.508,4.754,4.798,5.009,4.82,4.808,4.905,5.097,5.18,5.418,5.325,5.464,5.457,5.739,5.86,5.7
Italy,8.865,9.015,8.967,8.558,8.617,8.528,8.745,8.887,8.917,9.056,8.961,9.342,9.432,9.624,10.182,9.879,10.08,9.911,10.134,10.29,10.274
Cyprus,5.344,5.503,5.786,5.513,6.323,6.004,6.062,6.166,6.126,6.21,6.591,6.696,6.878,7.205,6.968,7.021,6.907,7.114,7.323,7.707,8.301
Latvia,3.208,3.045,3.273,3.361,3.541,3.791,4.148,4.469,4.469,3.926,3.675,4.007,4.121,4.268,4.37,4.589,4.625,4.674,4.84,4.852,5.049
Lithuania,2.462,2.296,2.291,2.43,2.555,2.898,3.153,3.246,3.332,3.107,3.882,3.971,4.095,4.5,4.68,4.651,4.604,4.588,4.673,4.909,5.017
Luxembourg,8.667,8.47,8.386,8.166,7.664,7.697,8.295,9.14,9.105,9.355,9.131,9.376,9.764,10.353,10.922,11.288,11.816,11.586,11.361,11.63,13.094
Hungary,3.203,3.257,3.414,3.48,3.642,3.522,3.701,3.793,3.891,3.821,3.753,3.901,4.053,4.273,4.471,4.383,4.424,4.416,4.644,4.855,4.737
Malta,3.656,3.283,3.451,3.09,2.947,3.674,3.554,3.493,3.459,3.186,2.854,3.015,3.291,3.635,3.826,3.866,3.712,3.443,3.537,3.615,3.556
Netherlands,6.107,6.041,6.005,5.894,5.881,6.009,6.193,6.42,6.644,6.626,6.391,6.798,6.803,6.956,7.4,7.45,7.529,7.697,8.047,8.323,8.358
Austria,8.688,8.34,8.429,8.083,8.151,8.06,8.265,8.721,8.779,8.899,8.489,9.0,9.088,8.984,9.374,9.244,9.298,9.34,9.799,9.729,9.792
Poland,2.757,2.773,2.862,2.886,3.02,3.087,3.111,3.345,3.445,3.694,3.557,3.726,3.925,3.941,4.232,4.361,4.288,4.294,4.329,4.7,4.717
Portugal,6.413,6.541,6.333,6.417,6.313,6.224,6.624,6.806,6.978,6.882,7.23,7.257,7.376,7.285,7.254,7.107,7.234,7.153,7.532,7.727,7.965
Romania,2.257,2.359,2.408,2.365,2.65,2.821,2.94,3.173,3.482,3.751,3.583,3.576,3.728,4.243,4.43,4.525,4.751,4.835,5.044,5.314,5.271
Slovenia,4.24,4.117,4.253,4.309,4.376,4.37,4.647,4.899,4.801,5.057,5.0,5.041,5.09,5.164,5.494,5.656,5.607,5.69,5.934,6.261,6.44
Slovakia,2.369,2.345,2.432,2.579,2.758,2.871,3.142,3.636,3.732,3.861,3.867,4.088,4.305,4.28,4.675,4.766,4.834,4.718,4.955,5.09,5.039
Finland,4.722,4.739,4.575,4.431,4.57,5.082,4.854,5.196,5.453,5.384,5.085,5.414,5.547,5.586,5.453,5.73,5.685,5.788,5.75,5.936,6.181
Sweden,6.141,5.875,5.903,6.121,6.111,6.43,6.878,7.152,7.159,7.535,7.148,7.355,7.335,7.55,7.821,8.537,8.332,8.293,8.423,8.77,9.224
United Kingdom,6.789,6.949,7.206,7.308,7.533,7.704,8.02,8.484,8.55,8.847,8.676,9.438,9.4,9.762,10.62,10.688,11.013,11.347,11.505,11.884,2.035366262565711
