_TIME,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019
Belgium,4.51,4.13,4.13,4.03,3.82,3.79,3.78,3.75,3.97,4.21
Bulgaria,4.8,4.63,4.53,4.69,4.88,5.02,5.36,5.72,6.07,6.62
Czechia,4.39,4.34,4.35,4.34,4.27,4.24,4.27,4.36,4.56,4.71
Denmark,4.62,4.62,3.1773638283554675,3.3448929382478396,3.1838843612302994,3.3425134313936002,3.173799610932983,3.3331358853034403,4.56,4.46
Estonia,4.78,5.03,4.7,4.6,4.83,4.74,4.9,5.12,5.41,5.98
Ireland,3.706514415178673,4.773674378789044,5.018969143346435,3.127340566191696,4.4346109757388605,3.014240109331183,4.719951379693766,4.803304653834871,3.5664670169972785,4.604756666979352
Greece,3.435774245465108,2.11,2.08,1.99,1.96,2.18,2.16,1.96,2.49,2.27
Spain,3.44,3.4,3.37,3.31,3.2,3.3313706467895394,3.1840662134186615,3.1776897115916336,3.29,3.3354425207921876
France,4.04,4.06,4.01,3.4665341901560245,3.83,3.89,4.0,4.33,4.31,4.41
Croatia,4.56,4.0,3.85,4.05,4.02,4.14,4.16,4.31,4.38,4.48
Italy,3.344706727838211,3.41,3.47,3.24,3.21,3.22,3.27,3.33,3.29,3.35
Cyprus,3.3117058580795926,5.052102830366609,4.7048455278599395,3.5258126877295384,3.2818355452525148,4.881330655242241,3.485861622093514,3.1976540427320366,5.618761303948013,5.166461896023426
Latvia,3.51,3.4,3.46,3.74,3.74,4.15,4.53,4.69,4.92,5.41
Lithuania,2.4,2.41,2.47,2.38,2.57,2.93,2.95,3.01,3.13,3.5
Luxembourg,4.406490945803534,3.4794541088456294,3.845736244264574,3.3689638315688075,2.905583884835206,3.9748314409776464,4.223081432369913,3.492558148324858,3.4338020901675748,3.3867033469282357
Hungary,5.61,5.9,5.69,5.78,5.58,5.71,5.62,5.96,5.95,6.13
Malta,7.23,8.89,8.44,6.55,6.9,6.86,6.61,8.19,7.72,7.66
Netherlands,3.533295964940024,4.845904789800878,2.83184634406242,4.9,4.951643791908394,3.0686315531645305,3.8280486099329156,5.509741159300113,4.12489671377269,3.5000579845857045
Austria,3.12,3.25,3.15,3.23,3.0916361819615346,3.37,3.46,3.49,3.58,3.66
Poland,3.18,3.27,3.14,3.03,3.07,3.14,3.21,3.33,3.59,3.62
Portugal,3.9037710896167757,3.0263282738259343,3.1350030498084385,4.036084147600878,3.8026806956889176,3.830380810846473,3.6521661055500134,4.1790637772122174,3.906720964539326,4.200525763332542
Romania,3.12,3.1,3.19,3.14,3.31,3.36,3.56,3.53,3.74,3.74
Slovenia,3.5,3.47,3.55,3.56,3.59,3.6,3.59,3.67,3.59,3.72
Slovakia,4.61,4.43,4.7,3.038439675302226,4.18,4.35,4.01,4.3,4.13,4.31
Finland,5.17,4.33,3.62,4.32,3.881352171300159,4.54,2.6633562609726296,5.42,4.85,4.91
Sweden,6.27,3.011134634293382,3.5389729812535324,3.513578973523274,6.28,2.9705441077016816,3.5149642947164494,2.968344443789793,5.94,6.48
United Kingdom,5.38,3.0650381570421814,3.094636182881579,3.094369430528386,5.67,5.81,5.87,5.97,6.15,3.43769038341678
