year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2016,67.5,64.39,39.94,51.69,66.86,108.95,75.16,51.12,39.22,55.3,51.54,25.95,DE,Alemania
2017,40.76,39.33,51.38,43.47,55.9,94.25,114.68,81.72,63.31,71.93,71.01,66.61,DE,Alemania
2018,84.59,17.83,47.69,34.55,53.62,51.64,43.85,49.18,44.21,27.3,19.81,87.44,DE,Alemania
2019,61.57,26.12,61.0,25.41,75.16,60.85,53.85,66.62,61.92,73.29,52.68,47.61,DE,Alemania
2020,34.88,99.07,45.38,17.94,38.15,86.45,52.04,79.89,52.6,69.74,17.68,49.69,DE,Alemania
2016,115.09,94.95,73.92,72.84,91.37,166.21,59.86,51.16,36.98,57.93,94.95,21.83,BE,Belgica
2017,59.25,69.01,57.17,16.56,49.41,46.88,98.15,82.18,96.76,51.54,102.83,137.24,BE,Belgica
2018,111.54,28.72,77.38,69.51,75.58,41.47,29.71,69.97,53.55,41.73,47.6,119.27,BE,Belgica
2019,71.01,55.06,94.31,39.52,57.15,81.25,52.5,53.08,66.85,110.61,89.48,90.74,BE,Belgica
2020,52.79,140.97,79.18,26.01,19.74,96.08,40.08,58.89,69.71,108.93,39.58,100.89,BE,Belgica
2016,93.68,155.89,75.04,59.69,127.31,134.94,99.84,63.61,83.89,147.77,137.88,6.28,HR,Croacia
2017,51.84,82.03,44.58,86.52,71.85,79.39,84.35,58.22,134.14,69.22,124.31,126.17,HR,Croacia
2018,68.56,122.55,122.14,68.2,108.14,112.44,87.98,77.7,69.55,80.67,94.13,56.04,HR,Croacia
2019,71.06,47.94,35.72,107.88,184.27,72.87,126.93,65.08,115.05,56.74,234.5,118.23,HR,Croacia
2020,16.72,51.13,64.16,48.17,71.25,124.42,86.67,129.66,126.77,155.2,39.97,155.81,HR,Croacia
2016,55.14,64.42,40.31,51.26,32.08,82.28,73.44,60.02,30.88,71.98,65.62,51.25,DK,Dinamarca
2017,42.1,52.71,53.8,52.43,41.82,107.65,94.93,105.15,104.14,143.26,89.69,73.7,DK,Dinamarca
2018,92.0,26.82,46.8,43.92,20.42,31.71,19.91,84.45,56.82,61.96,35.11,80.69,DK,Dinamarca
2019,54.74,45.24,93.71,16.23,58.13,58.34,58.3,87.96,112.08,108.45,92.37,65.3,DK,Dinamarca
2020,76.9,91.23,41.99,20.69,31.34,70.68,84.11,59.96,48.57,95.31,41.14,68.65,DK,Dinamarca
2016,92.23,74.94,60.15,78.94,66.75,11.79,14.93,7.14,20.42,58.57,98.94,43.42,ES,España
2017,37.72,67.08,52.25,26.5,42.07,35.34,27.75,30.38,15.1,24.92,40.0,54.5,ES,España
2018,71.57,67.06,134.33,81.6,64.29,50.59,22.02,19.49,35.91,84.53,97.32,25.52,ES,España
2019,44.03,12.42,21.76,83.63,22.24,16.13,25.22,24.75,47.78,62.87,98.68,94.53,ES,España
2020,55.18,7.85,87.64,84.4,52.89,29.8,11.63,31.59,39.39,67.52,65.25,63.23,ES,España
2016,105.31,94.59,73.94,73.48,105.22,85.81,34.04,25.38,40.41,62.01,97.65,19.54,FR,Francia
2017,44.07,60.08,75.58,33.06,77.85,66.89,52.47,51.95,65.66,28.98,67.81,103.8,FR,Francia
2018,124.93,54.4,101.03,74.59,87.4,63.99,50.95,47.18,26.4,77.86,86.58,82.84,FR,Francia
2019,52.08,33.41,42.59,69.64,60.2,66.95,42.07,43.32,49.14,125.6,144.69,103.42,FR,Francia
2020,53.99,69.46,74.62,47.92,65.28,91.33,18.08,61.56,59.02,111.78,33.65,121.46,FR,Francia
2016,173.23,129.57,73.35,80.53,70.43,89.1,72.79,75.19,121.21,64.34,71.69,75.42,IE,Irlanda
2017,66.93,94.47,112.22,24.36,64.51,107.24,91.98,94.75,140.12,95.46,120.08,128.45,IE,Irlanda
2018,173.2,73.32,104.49,108.69,58.38,25.82,61.06,75.19,84.27,83.44,173.51,157.04,IE,Irlanda
2019,69.05,75.67,144.09,92.12,47.08,89.57,63.18,132.59,126.06,128.99,166.7,120.31,IE,Irlanda
2020,92.93,204.07,74.24,36.9,30.99,95.8,124.89,140.44,85.75,141.44,124.98,159.87,IE,Irlanda
2016,46.13,53.26,28.38,57.32,35.2,69.04,104.5,100.61,23.71,72.02,72.93,43.3,LV,Letonia
2017,35.5,30.13,49.83,51.49,23.21,76.62,82.11,100.63,114.83,113.08,63.72,70.53,LV,Letonia
2018,49.77,24.67,18.39,45.11,28.43,44.02,71.92,74.31,62.8,62.84,22.34,53.33,LV,Letonia
2019,52.59,34.2,51.72,3.86,59.13,35.92,91.31,63.39,73.22,78.01,59.61,59.92,LV,Letonia
2020,43.13,56.77,40.82,22.69,45.68,93.16,86.29,65.91,40.11,66.2,47.03,42.17,LV,Letonia
2016,123.6,111.4,74.85,83.02,97.82,158.92,59.06,42.57,36.05,58.52,87.78,19.29,LU,Luxemburgo
2017,55.34,74.0,61.56,15.53,58.25,42.74,95.77,68.89,88.17,51.16,119.06,137.66,LU,Luxemburgo
2018,140.22,27.35,68.66,50.63,94.73,47.02,19.72,60.89,54.42,30.41,46.22,147.37,LU,Luxemburgo
2019,86.6,53.12,91.96,51.85,70.01,56.46,46.85,58.99,60.48,109.9,85.58,101.43,LU,Luxemburgo
2020,54.02,156.6,85.05,21.69,30.35,75.76,26.79,50.87,60.44,97.76,35.91,107.46,LU,Luxemburgo
2016,98.83,75.06,53.14,57.74,56.89,126.57,53.45,58.13,32.65,56.67,77.84,26.24,NL,Holanda
2017,58.93,60.12,53.29,22.89,32.77,57.26,108.9,74.89,110.1,65.4,86.3,117.39,NL,Holanda
2018,91.68,20.61,59.06,64.09,46.05,39.6,28.81,63.58,46.24,38.93,28.91,98.4,NL,Holanda
2019,65.43,42.63,94.02,26.78,40.47,87.29,48.18,55.01,85.43,104.54,81.87,66.95,NL,Holanda
2020,52.99,123.12,55.54,16.37,15.69,81.57,61.44,68.29,68.45,100.75,36.64,84.5,NL,Holanda
2016,40.88,42.78,32.08,46.71,36.63,64.52,81.35,93.73,45.66,35.72,61.69,54.63,SE,Suecia
2017,46.94,35.41,41.48,41.62,33.4,59.33,72.33,93.04,59.84,78.16,66.54,61.47,SE,Suecia
